GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
0100000US,,United States,1600000US0621712,0621712,United States - California - El Cajon city,El Cajon city,3.4,1.3
0100000US,,United States,1600000US0622020,0622020,United States - California - Elk Grove city,Elk Grove city,3.5,1.6
0100000US,,United States,1600000US0622230,0622230,United States - California - El Monte city,El Monte city,8.3,2.1
0100000US,,United States,1600000US0622804,0622804,United States - California - Escondido city,Escondido city,1.3,1.3
0100000US,,United States,1600000US0623182,0623182,United States - California - Fairfield city,Fairfield city,3.4,1.5
0100000US,,United States,1600000US0624477,0624477,United States - California - Florence-Graham CDP,Florence-Graham CDP,16.6,5.4
0100000US,,United States,1600000US0624638,0624638,United States - California - Folsom city,Folsom city,1.6,1.0
0100000US,,United States,1600000US0624680,0624680,United States - California - Fontana city,Fontana city,3.1,1.4
0100000US,,United States,1600000US0626000,0626000,United States - California - Fremont city,Fremont city,7.3,1.6
0100000US,,United States,1600000US0627000,0627000,United States - California - Fresno city,Fresno city,1.8,0.6
0100000US,,United States,1600000US0628000,0628000,United States - California - Fullerton city,Fullerton city,3.4,1.3
0100000US,,United States,1600000US0629000,0629000,United States - California - Garden Grove city,Garden Grove city,4.4,1.8
0100000US,,United States,1600000US0630000,0630000,United States - California - Glendale city,Glendale city,5.1,1.4
0100000US,,United States,1600000US0632548,0632548,United States - California - Hawthorne city,Hawthorne city,7.9,2.6
0100000US,,United States,1600000US0633000,0633000,United States - California - Hayward city,Hayward city,5.8,1.6
0100000US,,United States,1600000US0633182,0633182,United States - California - Hemet city,Hemet city,2.2,1.7
0100000US,,United States,1600000US0633434,0633434,United States - California - Hesperia city,Hesperia city,1.4,1.1
0100000US,,United States,1600000US0636000,0636000,United States - California - Huntington Beach city,Huntington Beach city,1.3,0.8
0100000US,,United States,1600000US0636448,0636448,United States - California - Indio city,Indio city,1.6,1.4
0100000US,,United States,1600000US0636546,0636546,United States - California - Inglewood city,Inglewood city,7.1,1.9
0100000US,,United States,1600000US0636770,0636770,United States - California - Irvine city,Irvine city,1.2,0.8
0100000US,,United States,1600000US0639496,0639496,United States - California - Lake Forest city,Lake Forest city,0.2,0.2
0100000US,,United States,1600000US0639892,0639892,United States - California - Lakewood city,Lakewood city,1.4,0.9
0100000US,,United States,1600000US0640130,0640130,United States - California - Lancaster city,Lancaster city,1.6,0.7
0100000US,,United States,1600000US0641992,0641992,United States - California - Livermore city,Livermore city,3.4,1.6
0100000US,,United States,1600000US0643000,0643000,United States - California - Long Beach city,Long Beach city,7.2,1.0
0100000US,,United States,1600000US0644000,0644000,United States - California - Los Angeles city,Los Angeles city,11.4,0.5
0100000US,,United States,1600000US0644574,0644574,United States - California - Lynwood city,Lynwood city,6.6,2.3
0100000US,,United States,1600000US0645484,0645484,United States - California - Manteca city,Manteca city,1.6,1.2
0100000US,,United States,1600000US0646842,0646842,United States - California - Menifee city,Menifee city,0.2,0.4
0100000US,,United States,1600000US0646898,0646898,United States - California - Merced city,Merced city,0.9,1.1
0100000US,,United States,1600000US0647766,0647766,United States - California - Milpitas city,Milpitas city,2.7,1.7
0100000US,,United States,1600000US0648256,0648256,United States - California - Mission Viejo city,Mission Viejo city,2.0,1.1
0100000US,,United States,1600000US0648354,0648354,United States - California - Modesto city,Modesto city,1.3,0.9
0100000US,,United States,1600000US0649270,0649270,United States - California - Moreno Valley city,Moreno Valley city,1.1,0.7
0100000US,,United States,1600000US0649670,0649670,United States - California - Mountain View city,Mountain View city,3.8,1.8
